row,season,week,day,weekday_cycle,sunday_cycle,lectionary_number,type,reference,first_verse_text,current_incipit,flag_reason
603,Ordinary Time,19,Sunday,,C,,gospel,Luke 12:32-48 or 12:35-40,[PARSE_ERROR: Luke 12:32-48 or 12:35-40],"JESUS said to his disciples ""Do not be afraid any longer, little flock",extraction_failed
604,Ordinary Time,20,Sunday,,A,,first_reading,"Isa 56:1, 6-7","Thus says the LORD: ""Keep justice, and do righteousness, for soon my salvation will come, and my deliverance be revealed.","THUS says the LORD Observe what is right, do what is just",starts_with_conjunction:thus
604,Ordinary Time,20,Sunday,,A,,gospel,Matt 15:21-28,And Jesus went away from there and withdrew to the district of Tyre and Sidon.,"AT that time, Jesus withdrew to the region of Tyre and Sidon.",starts_with_conjunction:and
605,Ordinary Time,20,Sunday,,B,,first_reading,Prv 9:1-6,[BOOK_NOT_FOUND: Prv],WISDOM has built her house,extraction_failed
605,Ordinary Time,20,Sunday,,B,,gospel,John 6:51-58,"I am the living bread which came down from heaven; if any one eats of this bread, he will live for ever; and the bread which I shall give for the life of the world is my flesh.""","JESUS said to the crowds ""I am the living bread that came down from heaven",
606,Ordinary Time,20,Sunday,,C,,first_reading,"Jer 38:4-6, 8-10","Then the princes said to the king, ""Let this man be put to death, for  he is weakening the hands of the soldiers who are left in this city, and the hands of all the people, by speaking such words to them. For this man is not seeking the welfare of this people, but their harm.""","IN those days, the princes said to the king",starts_with_conjunction:then
606,Ordinary Time,20,Sunday,,C,,gospel,John 12:49-53,For I have not spoken on my own authority; the Father who sent me has himself given me commandment what to say and what to speak.,"JESUS said to his disciples ""I have come to set the earth on fire",starts_with_conjunction:for
607,Ordinary Time,21,Sunday,,A,,first_reading,Isa 22:19-23,"I will thrust you from your office, and you will be cast down from your station.","THUS says the Lord to Shebna, master of the palace",
607,Ordinary Time,21,Sunday,,A,,gospel,Matt 16:13-20,"Now when Jesus came into the district of Caesarea Philippi, he asked his disciples, ""Who do men say that the Son of man is?""",JESUS went into the region of Caesarea Philippi and,starts_with_conjunction:now
608,Ordinary Time,21,Sunday,,B,,first_reading,"Jos 24:1-2a, 15-17, 18b",[BOOK_NOT_FOUND: Jos],JOSHUA gathered together all the tribes of Israel at Shechem,extraction_failed
608,Ordinary Time,21,Sunday,,B,,gospel,John 6:60-69,"Many of his disciples, when they heard it, said, ""This is a hard saying; who can listen to it?""",MANY of Jesus'disciples who were listening said,
609,Ordinary Time,21,Sunday,,C,,first_reading,Isa 66:18-21,"""For I know their works and their thoughts, and I am coming to gather all nations and tongues; and they shall come and shall see my glory,",THUS says the LORD I know their works and their thoughts,
609,Ordinary Time,21,Sunday,,C,,gospel,Luke 13:22-30,"He went on his way through towns and villages, teaching, and journeying toward Jerusalem.",JESUS passed through towns and villages,starts_with_pronoun:he
610,Ordinary Time,22,Sunday,,A,,first_reading,Jer 20:7-9,"O LORD, thou hast deceived me, and I was deceived; thou art stronger than I, and thou hast prevailed. I have become a laughingstock all the day; every one mocks me.","YOU duped me, O LORD, and I let myself be duped",
610,Ordinary Time,22,Sunday,,A,,gospel,Matt 16:21-27,"From that time Jesus began to show his disciples that he must go to Jerusalem and suffer many things from the elders and chief priests and scribes, and be killed, and on the third day be raised.",JESUS began to show his disciples,
611,Ordinary Time,22,Sunday,,B,,first_reading,"Deut 4:1-2, 6-8","""And now, O Israel, give heed to the statutes and the ordinances which I teach you, and do them; that you may live, and go in and take possession of the land which the LORD, the God of your fathers, gives you.","MOSES said to the people ""Now, Israel, hear the statutes and decrees",
611,Ordinary Time,22,Sunday,,B,,gospel,"Mark 7:1-8, 14-15, 21-23","Now when the Pharisees gathered together to him, with some of the scribes, who had come from Jerusalem,",WHEN the Pharisees with some scribes who had come from Jerusalem,starts_with_conjunction:now
612,Ordinary Time,22,Sunday,,C,,first_reading,"Sir 3:17-18, 20, 28-29","My son, perform your tasks in meekness; then you will be loved by those whom God accepts.","MY child, conduct your affairs with humility",
612,Ordinary Time,22,Sunday,,C,,gospel,"Luke 14:1, 7-14","One sabbath when he went to dine at the house of a ruler who belonged to the Pharisees, they were watching him.",ON a sabbath Jesus went to dine,
613,Ordinary Time,23,Sunday,,A,,first_reading,Ez 33:7-9,"""So you, son of man, I have made a watchman for the house of Israel; whenever you hear a word from my mouth, you shall give them warning from me.","THUS says the LORD You, son of man, I have appointed watchman for the house of Israel",
613,Ordinary Time,23,Sunday,,A,,gospel,Matt 18:15-20,"""If your brother sins against you, go and tell him his fault, between you and him alone. If he listens to you, you have gained your brother.","JESUS said to his disciples ""If your brother sins against you",
614,Ordinary Time,23,Sunday,,B,,first_reading,Isa 35:4-7a,"Say to those who are of a fearful heart, ""Be strong, fear not! Behold, your God will come with vengeance, with the recompense of God. He will come and save you.""",THUS says the LORD Say to those whose hearts are frightened,
614,Ordinary Time,23,Sunday,,B,,gospel,Mark 7:31-37,"Then he returned from the region of Tyre, and went through Sidon to the Sea of Galilee, through the region of the Decapolis.",AGAIN Jesus left the district of Tyre,starts_with_conjunction:then
615,Ordinary Time,23,Sunday,,C,,first_reading,Wis 9:13-18b,For what man can learn the counsel of God?,WHO can know God's counsel,starts_with_conjunction:for
615,Ordinary Time,23,Sunday,,C,,gospel,Luke 14:25-33,"Now great multitudes accompanied him; and he turned and said to them,",GREAT crowds were traveling with Jesus,starts_with_conjunction:now
616,Ordinary Time,24,Sunday,,A,,first_reading,Sir 27:30-28:9,"Anger and wrath, these also are abominations,",WRATH and anger are hateful things,
616,Ordinary Time,24,Sunday,,A,,gospel,Matt 18:21-35,"Then Peter came up and said to him, ""Lord, how often shall my brother sin against me, and I forgive him? As many as seven times?""",PETER approached Jesus and asked him,starts_with_conjunction:then
617,Ordinary Time,24,Sunday,,B,,first_reading,Isa 50:5-9a,"The Lord GOD has opened my ear, and I was not rebellious, I turned not backward.",THE Lord GOD opens my ear that I may hear,
617,Ordinary Time,24,Sunday,,B,,gospel,Mark 8:27-35,"And Jesus went on with his disciples, to the villages of Caesarea Philippi; and on the way he asked his disciples, ""Who do men say that I am?""",JESUS and his disciples set out,starts_with_conjunction:and
618,Ordinary Time,24,Sunday,,C,,first_reading,"Exod 32:7-11, 13-14","And the LORD said to Moses, ""Go down; for your people, whom you brought up out of the land of Egypt, have corrupted themselves;",THE LORD said to Moses,starts_with_conjunction:and
618,Ordinary Time,24,Sunday,,C,,gospel,Luke 15:1-32 or 15:1-10,[PARSE_ERROR: Luke 15:1-32 or 15:1-10],TAX collectors and sinners were all drawing near to listen to Jesus,extraction_failed
619,Ordinary Time,24,Sunday,,C,,first_reading,"Exod 32:7-11, 13-14","And the LORD said to Moses, ""Go down; for your people, whom you brought up out of the land of Egypt, have corrupted themselves;",THE LORD said to Moses,starts_with_conjunction:and
619,Ordinary Time,24,Sunday,,C,,gospel,Luke 15:1-10,Now the tax collectors and sinners were all drawing near to hear him.,TAX collectors and sinners were all drawing near to listen to Jesus,starts_with_conjunction:now
620,Ordinary Time,25,Sunday,,A,,first_reading,Isa 55:6-9,"""Seek the LORD while he may be found, call upon him while he is near;",SEEK the LORD while he may be found,
620,Ordinary Time,25,Sunday,,A,,gospel,Matt 20:1-16a,"""For the kingdom of heaven is like a householder who went out early in the morning to hire laborers for his vineyard.",JESUS told his disciples this parable,
621,Ordinary Time,25,Sunday,,B,,first_reading,"Wis 2:12, 17-20","""Let us lie in wait for the righteous man,",THE wicked say,
621,Ordinary Time,25,Sunday,,B,,gospel,Mark 9:30-37,They went on from there and passed through Galilee. And he would not have any one know it;,JESUS and his disciples left from there and began a journey,starts_with_pronoun:they
622,Ordinary Time,25,Sunday,,C,,first_reading,Am 8:4-7,"Hear this, you who trample upon the needy, and bring the poor of the land to an end,","HEAR this, you who trample upon the needy",
622,Ordinary Time,25,Sunday,,C,,gospel,Luke 16:1-13 or 16:10-13,[PARSE_ERROR: Luke 16:1-13 or 16:10-13],"JESUS said to his disciples ""A rich man had a steward",extraction_failed
623,Ordinary Time,26,Sunday,,A,,first_reading,Ez 18:25-28,"""Yet you say, 'The way of the Lord is not just.' Hear now, O house of Israel: Is my way not just? Is it not your ways that are not just?","THUS says the LORD You say, ""The LORD's way is not fair!""",
623,Ordinary Time,26,Sunday,,A,,gospel,Matt 21:28-32,"""What do you think? A man had two sons; and he went to the first and said, 'Son, go and work in the vineyard today.'",JESUS said to the chief priests and elders of the people,
624,Ordinary Time,26,Sunday,,B,,first_reading,Nm 11:25-29,[BOOK_NOT_FOUND: Nm],THE LORD came down in the cloud and spoke to Moses.,extraction_failed
624,Ordinary Time,26,Sunday,,B,,gospel,"Mark 9:38-43, 45, 47-48","John said to him, ""Teacher, we saw a man casting out demons in your name,  and we forbade him, because he was not following us.""","AT that time, John said to Jesus",
625,Ordinary Time,26,Sunday,,C,,first_reading,"Am 6:1a, 4-7","""Woe to those who are at ease in Zion, and to those who feel secure on the mountain of Samaria, the notable men of the first of the nations, to whom the house of Israel come!",THUS says the Lord the God of hosts Woe to the complacent in Zion!,
625,Ordinary Time,26,Sunday,,C,,gospel,Luke 16:19-31,"""There was a rich man, who was clothed in purple and fine linen and who feasted sumptuously every day.","JESUS said to the Pharisees ""There was a rich man who dressed in purple garments and fine linen",
626,Ordinary Time,27,Sunday,,A,,first_reading,Isa 5:1-7,Let me sing for my beloved a love song concerning his vineyard: My beloved had a vineyard on a very fertile hill.,LET me now sing of my friend,
626,Ordinary Time,27,Sunday,,A,,gospel,Matt 21:33-43,"""Hear another parable. There was a householder who planted a vineyard, and set a hedge around it, and dug a wine press in it, and built a tower, and let it out to tenants, and went into another country.34  When the season of fruit drew near, he sent his servants to the tenants, to get his fruit;",JESUS said to the chief priests and the elders of the people,
627,Ordinary Time,27,Sunday,,B,,first_reading,Gen 2:18-24,"Then the LORD God said, ""It is not good that the man should be alone; I will make him a helper fit for him.""","THE LORD God said: ""It is not good for the man to be alone.",starts_with_conjunction:then
627,Ordinary Time,27,Sunday,,B,,gospel,Mark 10:2-16 or 10:2-12,[PARSE_ERROR: Mark 10:2-16 or 10:2-12],THE Pharisees approached Jesus and asked,extraction_failed
628,Ordinary Time,27,Sunday,,C,,first_reading,Heb 1:2-3; 2:2-4,"but in these last days he has spoken to us by a Son, whom he appointed the heir of all things, through whom also he created the world.","HOW long, O LORD? I cry for help",starts_with_conjunction:but; starts_lowercase
628,Ordinary Time,27,Sunday,,C,,gospel,Luke 17:5-10,"The apostles said to the Lord, ""Increase our faith!""","THE apostles said to the Lord, ""Increase our faith.""",
629,Ordinary Time,28,Sunday,,A,,first_reading,Isa 25:6-10a,"On this mountain the LORD of hosts will make for all peoples a feast of fat things, a feast of wine on the lees, of fat things full of marrow, of wine on the lees well refined.",ON this mountain the LORD of hosts,
629,Ordinary Time,28,Sunday,,A,,gospel,Matt 22:1-14 or 22:1-10,[PARSE_ERROR: Matt 22:1-14 or 22:1-10],JESUS again in reply spoke to the chief priests and elders of the people,extraction_failed
630,Ordinary Time,28,Sunday,,B,,first_reading,Wis 7:7-11,"Therefore I prayed, and understanding was given me;","I PRAYED, and prudence was given me",starts_with_conjunction:therefore
630,Ordinary Time,28,Sunday,,B,,gospel,Mark 10:17-30 or 10:17-27,[PARSE_ERROR: Mark 10:17-30 or 10:17-27],"AS Jesus was setting out on a journey, a man ran up",extraction_failed
631,Ordinary Time,28,Sunday,,C,,first_reading,2 Kgs 5:14-17,"So he went down and dipped himself seven times in the Jordan, according to the word of the man of God; and his flesh was restored like the flesh of a little child, and he was clean.",NAAMAN went down and plunged into the Jordan seven times,starts_with_conjunction:so
631,Ordinary Time,28,Sunday,,C,,gospel,Luke 17:11-19,On the way to Jerusalem he was passing along between Samaria and Galilee.,AS Jesus continued his journey to Jerusalem,
632,Ordinary Time,29,Sunday,,A,,first_reading,"Isa 45:1, 4-6","Thus says the LORD to his anointed, to Cyrus, whose right hand I have grasped, to subdue nations before him and ungird the loins of kings, to open doors before him that gates may not be closed:","THUS says the LORD to his anointed, Cyrus",starts_with_conjunction:thus
632,Ordinary Time,29,Sunday,,A,,gospel,Matt 22:15-21,Then the Pharisees went and took counsel how to entangle him in his talk.,THE Pharisees went off,starts_with_conjunction:then
633,Ordinary Time,29,Sunday,,B,,first_reading,Isa 53:10-11,"Yet it was the will of the LORD to bruise him; he has put him to grief;  when he makes himself an offering for sin, he shall see his offspring, he shall prolong his days; the will of the LORD shall prosper in his hand;",THE LORD was pleased,starts_with_conjunction:yet
633,Ordinary Time,29,Sunday,,B,,gospel,Mark 10:35-45 or 10:42-45,[PARSE_ERROR: Mark 10:35-45 or 10:42-45],"JAMES and John, the sons of Zebedee, came to Jesus and said to him",extraction_failed
634,Ordinary Time,29,Sunday,,C,,first_reading,Exod 17:8-13,Then came Amalek and fought with Israel at Rephidim.,"IN those days, Amalek came and waged war against Israel.",starts_with_conjunction:then
634,Ordinary Time,29,Sunday,,C,,gospel,Luke 18:1-8,"And he told them a parable, to the effect that they ought always to pray and not lose heart.",JESUS told his disciples a parable,starts_with_conjunction:and
635,Ordinary Time,30,Sunday,,A,,first_reading,Exod 22:20-26,"""Whoever sacrifices to any god, save to the LORD only, shall be utterly destroyed.","THUS says the Lord ""You shall not molest or oppress an alien",
635,Ordinary Time,30,Sunday,,A,,gospel,Matt 22:34-40,"But when the Pharisees heard that he had silenced the Sadducees, they came together.",WHEN the Pharisees heard that Jesus had silenced the Sadducees,starts_with_conjunction:but
636,Ordinary Time,30,Sunday,,B,,first_reading,Jer 31:7-9,"For thus says the LORD: ""Sing aloud with gladness for Jacob, and raise shouts for the chief of the nations; proclaim, give praise, and  say, 'The LORD has saved his people, the remnant of Israel.'",THUS says the LORD Shout with joy for Jacob,starts_with_conjunction:for
636,Ordinary Time,30,Sunday,,B,,gospel,Mark 10:46-52,"And they came to Jericho; and as he was leaving Jericho with his disciples and a great multitude, Bartimaeus, a blind beggar, the son of Timaeus, was sitting by the roadside.",AS Jesus was leaving Jericho with his disciples and a sizable crowd,starts_with_conjunction:and
637,Ordinary Time,30,Sunday,,C,,first_reading,"Sir 35:12-14, 16-18","Do not offer him a bribe, for he will not accept it;and do not trust to an unrighteous sacrifice;for the Lord is the judge, and with him is no partiality.",THE LORD is a God of justice,
637,Ordinary Time,30,Sunday,,C,,gospel,Luke 18:9-14,He also told this parable to some who trusted in themselves that they were righteous and despised others:,JESUS addressed this parable,starts_with_pronoun:he
638,Ordinary Time,31,Sunday,,A,,first_reading,"Mal 1:14b-2:2b, 8-10","Cursed be the cheat who has a male in his flock, and vows it, and yet sacrifices to the Lord what is blemished; for I am a great King, says the LORD of hosts, and my name is feared among the nations.","A GREAT King am I, says the LORD of hosts",
638,Ordinary Time,31,Sunday,,A,,gospel,Matt 23:1-12,"Then said Jesus to the crowds and to his disciples,","JESUS spoke to the crowds and to his disciples, saying",starts_with_conjunction:then
639,Ordinary Time,31,Sunday,,B,,first_reading,Deut 6:2-6,"that you may fear the LORD your God, you and your son and your son's son, by keeping all his statutes and his commandments, which I command you, all the days of your life; and that your days may be prolonged.","MOSES spoke to the people, saying",starts_with_pronoun:that; starts_lowercase
639,Ordinary Time,31,Sunday,,B,,gospel,Mark 12:28b-34,"And one of the scribes came up and heard them disputing with one another, and seeing that he answered them well, asked him, ""Which commandment is the first of all?""",ONE of the scribes came to Jesus and asked him,starts_with_conjunction:and
640,Ordinary Time,31,Sunday,,C,,first_reading,Wis 11:22-12:2,"Because the whole world before thee is like a speck that tips the scales,",BEFORE the LORD the whole universe is as a grain from a balance,
640,Ordinary Time,31,Sunday,,C,,gospel,Luke 19:1-10,He entered Jericho and was passing through.,"AT that time, Jesus came to Jericho and intended to pass through the town.",starts_with_pronoun:he
641,Ordinary Time,32,Sunday,,A,,first_reading,Wis 6:12-16,"Wisdom is radiant and unfading,",RESPLENDENT and unfading is wisdom,
641,Ordinary Time,32,Sunday,,A,,gospel,Matt 25:1-13,"""Then the kingdom of heaven shall be compared to ten maidens who took their lamps and went to meet the bridegroom.",JESUS told his disciples this parable,
642,Ordinary Time,32,Sunday,,B,,first_reading,1 Kgs 17:10-16,"So he arose and went to Zarephath; and when he came to the gate of the city, behold, a widow was there gathering sticks; and he called to her and said, ""Bring me a little water in a vessel, that I may drink.""","IN those days, Elijah the prophet went to Zarephath.",starts_with_conjunction:so
642,Ordinary Time,32,Sunday,,B,,gospel,Mark 12:38-44 or 12:41-44,[PARSE_ERROR: Mark 12:38-44 or 12:41-44],IN the course of his teaching Jesus said to the crowds,extraction_failed
643,Ordinary Time,32,Sunday,,C,,first_reading,"2 Mc 7:1-2, 9-14",[BOOK_NOT_FOUND: 2 Mc],IT happened that seven brothers with their mother were arrested,extraction_failed
643,Ordinary Time,32,Sunday,,C,,gospel,"Luke 20:27-38 or 20:27, 34-38","And Jesus said to them, ""The sons of this age marry and are given in marriage;","SOME Sadducees, those who deny that there is a resurrection",starts_with_conjunction:and
644,Ordinary Time,33,Sunday,,A,,first_reading,"Prv 31:10-13, 19-20, 30-31",[BOOK_NOT_FOUND: Prv],WHEN one finds a worthy wife,extraction_failed
644,Ordinary Time,33,Sunday,,A,,gospel,"Matt 25:14-30 or 25:14-15, 19-21",Now after a long time the master of those servants came and settled accounts with them.,JESUS told his disciples this parable,starts_with_conjunction:now
645,Ordinary Time,33,Sunday,,B,,first_reading,Dn 12:1-3,[BOOK_NOT_FOUND: Dn],"IN those days, I Daniel",extraction_failed
645,Ordinary Time,33,Sunday,,B,,gospel,Mark 13:24-32,"""But in those days, after that tribulation, the sun will be darkened, and the moon will not give its light,","JESUS said to his disciples ""In those days after that tribulation",
646,Lent,1,Sunday,,A,,first_reading,Gen 2:7-9; 3:1-7,"then the LORD God formed man of dust from the ground, and breathed into his nostrils the breath of life; and man became a living being.",THE LORD God formed man out of the clay of the ground,starts_with_conjunction:then; starts_lowercase
646,Lent,1,Sunday,,A,,gospel,Matt 4:1-11,Then Jesus was led up by the Spirit into the wilderness to be tempted by the devil.,AT that time Jesus was led by the Spirit into the desert,starts_with_conjunction:then
647,Lent,1,Sunday,,B,,first_reading,Gen 9:8-15,"Then God said to Noah and to his sons with him,",GOD said to Noah and to his sons with him,starts_with_conjunction:then
647,Lent,1,Sunday,,B,,gospel,Mark 1:12-15,The Spirit immediately drove him out into the wilderness.,THE Spirit drove Jesus out into the desert,
648,Lent,1,Sunday,,C,,first_reading,Deut 26:4-10,"Then the priest shall take the basket from your hand, and set it down before the altar of the LORD your God.","MOSES spoke to the people, saying",starts_with_conjunction:then
648,Lent,1,Sunday,,C,,gospel,Luke 4:1-13,"And Jesus, full of the Holy Spirit, returned from the Jordan, and was led by the Spirit","FILLED with the Holy Spirit, Jesus returned from the Jordan",starts_with_conjunction:and
649,Lent,1,Monday,I/II,,224,first_reading,"Leviticus 19.1-2, 11-18","And the LORD said to Moses,","The Lord spoke to Moses, saying",starts_with_conjunction:and
649,Lent,1,Monday,I/II,,224,gospel,Matt 25.31-46,"""When the Son of man comes in his glory, and all the angels with him, then he will sit on his glorious throne.","Jesus said to his disciples ""When the Son of Man comes in his glory",
650,Lent,1,Tuesday,I/II,,225,first_reading,Isa 55.10-11,"""For as the rain and the snow come down from heaven, and return not thither but water the earth, making it bring forth and sprout, giving seed to the sower and bread to the eater,","Thus says the Lord, your God For as the rain and the snow come down from heaven",
650,Lent,1,Tuesday,I/II,,225,gospel,Matt 6.7-15,"""And in praying do not heap up empty phrases as the Gentiles do; for they think that they will be heard for their many words.",When the disciples had gathered around Jesus on the hillside,
651,Lent,1,Wednesday,I/II,,226,first_reading,Jonah 3.1-10,"Then the word of the LORD came to Jonah the second time, saying,","The word of the Lord came to Jonah at second time, saying",starts_with_conjunction:then
651,Lent,1,Wednesday,I/II,,226,gospel,Luke 11.29-32,"When the crowds were increasing, he began to say, ""This generation is an evil generation; it seeks a sign, but no sign shall be given to it except the sign of Jonah.","When the crowds were increasing, Jesus began to say",starts_with_conjunction:when
652,Lent,1,Thursday,I/II,,227,first_reading,"Esther 14.1, 3-5, 12-14","Mordecai then went away and did everything as Esther had ordered him. And Esther the queen, seized with deathly anxiety, fled to the Lord;","Queen Esther, seized with deadly anxiety, fled to the Lord.",
652,Lent,1,Thursday,I/II,,227,gospel,Matt 7.7-12,"""Ask, and it will be given you; seek, and you will find; knock, and it will be opened to you.",Gathered on the hillside with the disciples,
653,Lent,1,Friday,I/II,,228,first_reading,Ezek 18.21-28,"""But if a wicked man turns away from all his sins which he has committed and keeps all my statutes and does what is lawful and right, he shall surely live; he shall not die.",The word of the Lord came to me:,
653,Lent,1,Friday,I/II,,228,gospel,Matt 5.20-16,"For I tell you, unless your righteousness exceeds that of the scribes and Pharisees, you will never enter the kingdom of heaven.","Jesus went up the mountain; and after he sat down, his disciples came to him and he taught them.",starts_with_conjunction:for
