source,day_label,lect_num,type,reference,csv_incipit,derived_incipit,db_first_verse,rendered_first_line,problems
standard,Advent/1/Sunday/A,,gospel,Matt 24:37-44,"JESUS said to his disciples ""As it was in the days of Noah","At that time,","As were the days of Noah, so will be the coming of the Son of man.","37. JESUS said to his:: As were the days of Noah, so will be the coming of the Son of man.",verse_number_in_rendered
standard,Advent/1/Sunday/B,,first_reading,"Isa 63:16b-17, 19b; 64:2-7","YOU, Lord, are our father",Thus says the LORD:,"For thou art our Father, though Abraham does not know us and Israel does not acknowledge us; thou, O LORD, art our Father, our Redeemer from of old is thy name.","16. thou, O LORD, art our Father, our Redeemer from of old is thy name",raw_verse_lowercase; verse_number_in_rendered
standard,Advent/1/Sunday/B,,gospel,Mark 13:33-37,"JESUS said to his disciples ""Be watchful! Be alert!","At that time,",[VERSE_NOT_FOUND],"34. JESUS said to his: It is like a man going on a journey, when he leaves home and puts his servants in charge, each with his work, and commands the doorkeeper to be on the watch.",verse_number_in_rendered; pronoun_after_incipit:it
standard,Advent/1/Sunday/C,,first_reading,Jer 33:14-16,"THE days are coming, says the Lord",Thus says the LORD:,"""Behold, the days are coming, says the LORD, when I will fulfil the  promise I made to the house of Israel and the house of Judah.","14. ""Behold, the days are coming, says the LORD, when I will fulfil the  promise I made to the house of Israel and the house of Judah.",verse_number_in_rendered
standard,Advent/1/Sunday/C,,gospel,"Luke 21:25-28, 34-36","JESUS said to his disciples ""There will be signs in the sun, the moon, and the stars","At that time,","""And there will be signs in sun and moon and stars, and upon the earth distress of nations in perplexity at the roaring of the sea and the waves,","25. JESUS said to his:: ""And there will be signs in sun and moon and stars, and upon the earth distress of nations in perplexity at the roaring of the sea and the waves,",verse_number_in_rendered
standard,Advent/1/Monday/I/II,175,first_reading,Isa 4.2-6,The vision that Isaiah son of Amoz saw,Thus says the LORD:,"In that day the branch of the LORD shall be beautiful and glorious, and the fruit of the land shall be the pride and glory of the survivors of Israel.",Reading text unavailable for Isa 4.2-6.,text_unavailable
standard,Advent/1/Monday/I/II,175,gospel,"Matt 8.5-11, 13",When Jesus entered Capernaum,"At that time,","As he entered Caperna-um, a centurion came forward to him, beseeching him","Reading text unavailable for Matt 8.5-11, 13.",text_unavailable
standard,Advent/1/Monday/I/II,175,first_reading,Isa 2.1-5,The word that Isaiah son of Amoz saw,Thus says the LORD:,The word which Isaiah the son of Amoz saw concerning Judah and Jerusalem.,Reading text unavailable for Isa 2.1-5.,text_unavailable
standard,Advent/1/Monday/I/II,175,gospel,"Matt 8.5-11, 13",When Jesus entered Capernaum,"At that time,","As he entered Caperna-um, a centurion came forward to him, beseeching him","Reading text unavailable for Matt 8.5-11, 13.",text_unavailable
standard,Advent/1/Tuesday/I/II,176,first_reading,Isa 11.1-10,A shoot shall come out from the stump of Jesse,Thus says the LORD:,"There shall come forth a shoot from the stump of Jesse, and a branch shall grow out of his roots.",Reading text unavailable for Isa 11.1-10.,text_unavailable
standard,Advent/1/Tuesday/I/II,176,gospel,Luke 10.21-24,The seventy returned with joy,"At that time,","In that same hour he rejoiced in the Holy Spirit and said, ""I thank thee, Father, Lord of heaven and earth, that thou hast hidden these things from the wise and understanding and revealed them to babes; yea, Father, for such was thy gracious will.",Reading text unavailable for Luke 10.21-24.,text_unavailable
standard,Advent/1/Wednesday/I/II,177,first_reading,Isa 25.6-10a,On this mountain the Lord of hosts will make for all peoples,Thus says the LORD:,"On this mountain the LORD of hosts will make for all peoples a feast of fat things, a feast of wine on the lees, of fat things full of marrow, of wine on the lees well refined.",Reading text unavailable for Isa 25.6-10a.,text_unavailable
standard,Advent/1/Wednesday/I/II,177,gospel,Matt 15.29-37,After Jesus had left Tyre and Sidon,"At that time,","And Jesus went on from there and passed along the Sea of Galilee. And he went up on the mountain, and sat down there.",Reading text unavailable for Matt 15.29-37.,text_unavailable
standard,Advent/1/Thursday/I/II,178,first_reading,Isa 26.1-6,On that day this song will be sung in the land of Judah,Thus says the LORD:,"In that day this song will be sung in the land of Judah: ""We have a strong city; he sets up salvation as walls and bulwarks.",Reading text unavailable for Isa 26.1-6.,text_unavailable
standard,Advent/1/Thursday/I/II,178,gospel,"Matt 7.21, 24-27",When Jesus saw the crowds,"At that time,","""Not every one who says to me, 'Lord, Lord,' shall enter the kingdom of heaven, but he who does the will of my Father who is in heaven.","Reading text unavailable for Matt 7.21, 24-27.",text_unavailable
standard,Advent/1/Friday/I/II,179,first_reading,Isa 29.17-24,"The Lord God says this: ""Shall not Lebanon, in a very little while",Thus says the LORD:,"Is it not yet a very little while until Lebanon shall be turned into a fruitful field, and the fruitful field shall be regarded as a forest?",Reading text unavailable for Isa 29.17-24.,text_unavailable
standard,Advent/1/Friday/I/II,179,gospel,Matt 9.27-31,As Jesus went on from his own village,"At that time,","And as Jesus passed on from there, two blind men followed him, crying aloud, ""Have mercy on us, Son of David.""",Reading text unavailable for Matt 9.27-31.,text_unavailable
standard,Advent/2/Monday/I/II,181,first_reading,Isa 35.1-10,The wilderness and the dry land shall be glad,Thus says the LORD:,"The wilderness and the dry land shall be glad, the desert shall rejoice and blossom; like the crocus",Reading text unavailable for Isa 35.1-10.,text_unavailable
standard,Advent/2/Monday/I/II,181,gospel,Luke 5.17-26,"One day, while Jesus was teaching","At that time,","On one of those days, as he was teaching, there were Pharisees and teachers of the law sitting by, who had come from every village of Galilee and Judea and from Jerusalem; and the power of the Lord was with him to heal.",Reading text unavailable for Luke 5.17-26.,text_unavailable
standard,Advent/2/Tuesday/I/II,182,first_reading,Isa 40.1-11,"""Comfort, O comfort my people,"" says your God.",Thus says the LORD:,"Comfort, comfort my people, says your God.",Reading text unavailable for Isa 40.1-11.,text_unavailable
standard,Advent/2/Tuesday/I/II,182,gospel,Matt 18.12-14,Jesus asked the disciples,"At that time,","What do you think? If a man has a hundred sheep, and one of them has gone astray, does he not leave the ninety-nine on the mountains and go in search of the one that went astray?",Reading text unavailable for Matt 18.12-14.,text_unavailable
standard,Advent/2/Wednesday/I/II,183,first_reading,Isa 40.25-31,"""To whom then will you compare me",Thus says the LORD:,"To whom then will you compare me, that I should be like him? says the Holy One.",Reading text unavailable for Isa 40.25-31.,text_unavailable
standard,Advent/2/Wednesday/I/II,183,gospel,Matt 11.28-30,"At that time, Jesus spoke to the crowds and exclaimed","At that time,","Come to me, all who labor and are heavy laden, and I will give you rest.",Reading text unavailable for Matt 11.28-30.,text_unavailable
standard,Advent/2/Thursday/I/II,184,first_reading,Isa 41.13-20,"Thus says the Lord ""I, the Lord your God",Thus says the LORD:,"For I, the LORD your God, hold your right hand; it is I who say to you, ""Fear not, I will help you.""",Reading text unavailable for Isa 41.13-20.,text_unavailable
standard,Advent/2/Thursday/I/II,184,gospel,Matt 11.11-15,Now when Jesus had finished instructing his twelve disciples,"At that time,","Truly, I say to you, among those born of women there has risen no one greater than John the Baptist; yet he who is least in the kingdom of heaven is greater than he.",Reading text unavailable for Matt 11.11-15.,text_unavailable
standard,Advent/2/Friday/I/II,185,first_reading,Isa 48.17-19,"Thus says the Lord, your Redeemer, the Holy One of Israel",Thus says the LORD:,"Thus says the LORD, your Redeemer, the Holy One of Israel: ""I am the LORD your God, who teaches you to profit, who leads you in the way you should go.",Reading text unavailable for Isa 48.17-19.,text_unavailable
standard,Advent/2/Friday/I/II,185,gospel,Matt 11.16-19,Jesus continued to speak to the crowds about John the Baptist,"At that time,","""But to what shall I compare this generation? It is like children sitting in the market places and calling to their playmates,",Reading text unavailable for Matt 11.16-19.,text_unavailable
standard,Advent/3/Sunday/A,,gospel,Matt 11:2-11,WHEN John the Baptist heard in prison of the works of the Christ,"At that time,","Now when John heard in prison about the deeds of the Christ, he sent word by his disciples","2. WHEN John the Baptist:: Now when John heard in prison about the deeds of the Christ, he sent word by his disciples",verse_number_in_rendered
standard,Advent/3/Sunday/B,,gospel,"John 1:6-8, 19-28",A MAN named John was sent from God.,In the beginning was the Word:,"There was a man sent from God, whose name was John.","6. There was a man sent from God, whose name was John.",verse_number_in_rendered
